x1,x2,y
0.222863616,0.253254069,1.010977738
0.164315944,0.707553101,1.100436144
0.758927921,0.167180568,3.459461523
0.35471446,0.197154072,0.982091515
0.501326043,0.411819804,3.475550379
0.324006767,0.852976045,6.00197381
0.02284869,0.581423596,3.613272055
0.68322137,0.343433902,1.616214626
0.086689094,0.141585396,0.77295187
0.98733147,0.693303232,2.788049163
0.02698311,0.385802265,-0.042939868
0.676891907,0.450367199,1.309943084
0.220162009,0.163394016,-0.733358079
0.808601653,0.288193903,8.355739309
0.555780649,0.418263093,1.533235835
0.072191527,0.639407408,-0.037240842
0.168178714,0.371337283,-0.585213501
0.617254187,0.022964286,-2.790254329
0.858274808,0.351621207,7.015612627
