x1,y
0.291033765,5.008224859
0.659473622,6.180452527
0.114637626,0.508522663
0.691893731,6.383641964
0.513522802,3.572552137
0.706004601,7.027757129
0.910639713,11.37476755
0.760405369,6.235775467
0.69563727,8.8081778
0.64166875,7.572053562
0.355484923,3.301015463
0.651332173,7.829972233
0.878106868,6.534038733
0.870317527,8.632579647
0.294326829,2.996918356
0.622225826,7.358584262
0.654230255,6.880767859
0.212312214,1.476512701
0.869089785,9.002217832
0.683790414,4.848983577
0.192987995,2.126206352
0.532901796,5.711781409
0.094397915,1.004458225
0.731185131,8.99602237
0.251606928,2.035470579
0.1908949,1.833880128
0.386105451,2.564440416
0.258963174,2.590788615
0.987820496,9.884203897
0.219992583,3.222394131
0.131833843,1.54389041
0.049866202,0.7832684
0.137580199,2.246238114
0.070042805,0.875512676
0.552149179,6.474220959
0.99544179,10.09636262
0.92523077,8.411731031
0.18641988,1.044043593
0.352122754,2.829387819
0.6734897,6.627811801
0.799953426,8.104731159
0.871294794,9.072821371
0.426822804,3.850719521
0.137945263,1.263954038
0.600641051,4.795870543
0.429020589,3.974806533
0.80439911,7.535302081
0.363160415,4.10483023
0.499582854,5.76504149
0.070883206,-0.327856155
